title,categories,address,price,date_posted,PIDs,beds,newly_built,serviced,furnished,baths,toilets,price_per_day_₦,price_per_month_₦,price_per_year_₦,state
Sophisticated Standard 4 Bedroom Flat,4 BEDROOM FLAT / APARTMENT FOR SHORTLET, Omole Phase 2 Ojodu Lagos,"  60,000/day ",2021-05-11, 7ERCF,4,False,False,False,6,6,60000,1800000,21900000,Lagos
Tastefully Furnished 4 Bedroom Fully Detached House For Shortlet Purposes,4 BEDROOM HOUSE FOR SHORTLET,Chevron Lekki Lagos,"  95,000/day ",2021-06-10, 4EVDU,4,False,False,False,4,5,95000,2850000,34675000,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Lagos,"  300,000/day ",2022-11-23, 4HQUD,4,False,False,True,4,4,300000,9000000,109500000,Lagos
Haap Flex 4 Bedroom Shortlet At Bluewaters,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Bluewaters Apartment Lekki Phase 1 Lekki Lagos,"  150,000/day ",2023-02-24, 9JBHM,4,False,False,True,4,1,150000,4500000,54750000,Lagos
Luxury 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Asokoro Abuja,"  100,000/day ",2023-01-06, 5HVRC,4,True,True,True,4,5,100000,3000000,36500000,Abuja
4 Bedroom Terraced Duplex For Rent,4 BEDROOM FLAT / APARTMENT FOR SHORTLET," ahmed Kasamu Street, Chevy View Estate Chevron Lekki Lagos","  4,000,000 ",2019-01-22, 7BZEF,4,True,True,True,4,5,4000000,48000000,1460000000,Lagos
Executive 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Guzape Abuja,"  100,000/day ",2023-01-03, 2HVHP,4,False,True,True,4,5,100000,3000000,36500000,Abuja
Furnished 4 Bedroom Semi Detached House Lekki Phase 1 Lagos,4 BEDROOM HOUSE FOR SHORTLET,B19 Victoria Bay 3 Estate Ikate Lekkki Lagos Lekki Phase 1 Lekki Lagos,"  130,000/day ",2021-11-01, 6FPVX,4,True,True,True,4,5,130000,3900000,47450000,Lagos
Furnished 4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  120,000/day ",2022-04-13, 2GKGA,4,True,True,True,4,4,120000,3600000,43800000,Lagos
Newly Built 4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  90,000/day ",2022-03-13, 8GEZL,4,True,True,True,4,4,90000,2700000,32850000,Lagos
Well Furnished 4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  140,000/day ",2022-04-15, 9GKNQ,4,True,True,True,4,4,140000,4200000,51100000,Lagos
4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  120,000/day ",2023-02-01, 2HYUS,4,True,True,True,4,5,120000,3600000,43800000,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Gra Ogudu Lagos,"  110,000/day ",2022-12-07, 7HSNB,4,False,True,False,4,5,110000,3300000,40150000,Lagos
4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  130,000/day ",2023-07-28, 7JWKW,4,False,False,True,4,4,130000,3900000,47450000,Lagos
4 Bedroom Flat,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Vgc Lekki Lagos,"  140,000/day ",2023-07-28, 3JWJX,4,False,False,True,4,4,140000,4200000,51100000,Lagos
4 Bedroom Terrace Duplex Available For Party,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikota Lekki Lagos,"  200,000/day ",2023-02-17, 0JASC,4,True,True,True,4,5,200000,6000000,73000000,Lagos
Luxurious 4 Bedroom With Executive Bar And Snooker Board,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Phase 1 Lekki Lagos,"  250,000/day ",2020-08-30, 3DUHM,4,False,False,True,4,5,250000,7500000,91250000,Lagos
Spacious 4bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ogudu Gra Ogudu Gra Ogudu Lagos,"  120,000 ",2022-01-06, 4FWHJ,4,False,False,False,4,4,120000,1440000,43800000,Lagos
Furnish 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Oral Estate Oral Estate Lekki Lagos,"  90,000/day ",2022-06-29, 3GWHT,4,False,True,True,4,5,90000,2700000,32850000,Lagos
Cozy 4 Bedroom Apartment,4 BEDROOM HOUSE FOR SHORTLET,Magodo Shangisha Magodo Gra Phase 2 Kosofe Ikosi Lagos,"  95,000/day ",2022-07-08, 1GXLV,4,False,True,True,4,4,95000,2850000,34675000,Lagos
Luxury 4bedroom Duplex With Swimming Pool,4 BEDROOM HOUSE FOR SHORTLET,Asokoro Abuja,"  150,000 ",2021-12-31, 7FVYA,4,False,True,True,4,4,150000,1800000,54750000,Abuja
Luxury 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Wuse 2 Abuja,"  140,000/day ",2022-08-11, 7HBRZ,4,False,True,True,4,5,140000,4200000,51100000,Abuja
Luxury 4bedroom Apartment,4 BEDROOM HOUSE FOR SHORTLET,Guzape Abuja,"  160,000 ",2022-04-29, 5GMHG,4,False,True,True,4,5,160000,1920000,58400000,Abuja
All New Furnish 4 Bedroom Terrace,4 BEDROOM HOUSE FOR SHORTLET,Osapa Osapa London Lekki Lagos,"  100,000/day ",2021-08-08, 5FDHK,4,True,True,True,4,5,100000,3000000,36500000,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Bourdillon Ikoyi Lagos,"  220,000/day ",2023-03-14, 6JDET,4,True,True,True,4,5,220000,6600000,80300000,Lagos
Furnished 4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  85,000/day ",2022-08-12, 7HBVD,4,False,True,True,4,4,85000,2550000,31025000,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Oniru Victoria Island Lagos,"  140,000/day ",2022-08-26, 6HDTA,4,False,True,True,4,4,140000,4200000,51100000,Lagos
Furnished 4bedroom Duplex With Ps5,4 BEDROOM HOUSE FOR SHORTLET,Oniru Oniru Victoria Island Lagos,"  140,000/day ",2022-08-29, 0HDZE,4,False,True,True,4,4,140000,4200000,51100000,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,"  130,000/day ",2022-05-26, 0GRFM,4,False,False,True,4,4,130000,3900000,47450000,Lagos
4 Bedroom Semi Detached Duplex,4 BEDROOM COMMERCIAL PROPERTY FOR SHORTLET,Lekki Phase 1 Lekki Lagos,"  200,000/day ",2023-02-25, 9JBKQ,4,False,True,True,4,5,200000,6000000,73000000,Lagos
4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Atlantis Estate Ologolo Lekki Lagos,"  130,000/day ",2023-02-25, 3JBKJ,4,False,True,True,4,4,130000,3900000,47450000,Lagos
4 Bedroom Flat,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Lekki Phase 1 Lekki Lagos,"  140,000/day ",2022-11-08, 3HNXA,4,False,True,True,0,0,140000,4200000,51100000,Lagos
4 Bedroom Semi Detached Duplex House,4 BEDROOM HOUSE FOR SHORTLET,Life Camp Abuja,"  90,000/day ",2021-09-01, 8FGNF,4,False,True,False,4,5,90000,2700000,32850000,Abuja
Luxury 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Banana Island Ikoyi Lagos,"  280,000 ",2023-05-18, 0JMEG,4,False,True,True,4,5,280000,3360000,102200000,Lagos
Stunning 4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Guzape Abuja,"  180,000/day ",2023-05-15, 3JLTZ,4,False,True,True,5,5,180000,5400000,65700000,Abuja
Tastefully Finished And Furnished 4 Bedroom Maisonette,4 BEDROOM HOUSE FOR SHORTLET,Off Oba Akinjobi Way Ikeja Gra Ikeja Lagos,"  70,000/day ",2021-04-21, 9EPEW,4,False,False,False,4,5,70000,2100000,25550000,Lagos
Premium 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Chevron Chevron Lekki Lagos,"  105,000/day ",2021-07-23, 9FBLD,4,True,True,True,4,5,105000,3150000,38325000,Lagos
Furnished 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Alperton Residence Osapa London Lekki Lagos,"  140,000/day ",2022-12-25, 0HUUC,4,False,False,True,0,0,140000,4200000,51100000,Lagos
Tastefully Furnished 4bedrooms Paragon,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Ikate Lekki Lagos,"  85,000 ",2021-09-01, 9FGPK,4,False,True,True,4,4,85000,1020000,31025000,Lagos
Luxury 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,"Orchid, Lekki Lagos","  170,000/day ",2023-05-29, 9JNLM,4,True,True,True,4,5,170000,5100000,62050000,Lagos
Home From Home,4 BEDROOM HOUSE FOR SHORTLET,Lekki Phase 2 Lekki Lagos,"  100,000/day ",2022-05-25, 5GRCQ,4,True,True,True,4,5,100000,3000000,36500000,Lagos
4 Bedroom Party Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,"Alhujjaj Road, Off Platinum Way, Ikate Lekki Lagos","  250,000/day ",2023-06-07, 7JPSD,4,False,True,True,4,5,250000,7500000,91250000,Lagos
Newly Built 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Phase 1 Lekki Phase 1 Lekki Lagos,"  100,000 ",2020-01-07, 1CWTJ,4,True,True,True,4,5,100000,1200000,36500000,Lagos
Fully Furnished 4bedroom Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Off Admirathy Way Lekki Lekki Phase 1 Lekki Lagos,"  150,000 ",2021-07-18, 6FAXL,4,False,False,False,4,5,150000,1800000,54750000,Lagos
Furnished 4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,"Spring Bay Estate, Off Freedom Way, Ikate Lekki Lagos","  150,000/day ",2023-04-27, 0JJNC,4,False,False,False,4,5,150000,4500000,54750000,Lagos
4bedroom Self Compound With Pool,4 BEDROOM HOUSE FOR SHORTLET,Osapa London Lekki Lagos,"  95,000/day ",2021-12-08, 3FUAX,4,False,True,True,5,5,95000,2850000,34675000,Lagos
Luxury 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Opebi Ikeja Lagos,"  90,000/day ",2022-07-16, 4GYHE,4,False,True,True,5,5,90000,2700000,32850000,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Lekki Phase 1 Lekki Lagos,"  140,000/day ",2022-09-08, 5HFFG,4,True,True,True,4,5,140000,4200000,51100000,Lagos
Furnished 4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Admiralty Way Lekki Phase 1 Lekki Lagos,"  130,000/day ",2022-08-12, 0HBUD,4,True,True,True,4,5,130000,3900000,47450000,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ikate Ikate Lekki Lagos,"  130,000/day ",2022-05-24, 1GQUT,4,False,True,True,4,5,130000,3900000,47450000,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Horizon 2 Estate Ikate Lekki Lagos,"  100,000/day ",2023-03-21, 3JDYH,4,False,True,True,4,5,100000,3000000,36500000,Lagos
Fully Furnished 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Orchid Road Lekki Lagos,"  90,000/day ",2022-09-06, 6HFAE,4,True,True,True,4,5,90000,2700000,32850000,Lagos
Four Bedroom Semidetached Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  120,000/day ",2023-03-22, 5JECP,4,True,True,True,4,5,120000,3600000,43800000,Lagos
4 Bedroom Terrace Apartment@ Guzape,4 BEDROOM HOUSE FOR SHORTLET,Guzape Abuja,"  3,000,000/month ",2021-07-06, 2EZEL,4,False,True,False,4,4,100000.0,3000000,36000000,Abuja
4 Bedroom Semi Detached Duplex,4 BEDROOM COMMERCIAL PROPERTY FOR SHORTLET,Chevron Lekki Lagos,"  200,000/day ",2023-06-16, 9JQWY,4,False,False,False,4,4,200000,6000000,73000000,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ikeja Lagos,"  170,000/day ",2022-12-20, 7HUBP,4,False,True,True,4,5,170000,5100000,62050000,Lagos
4 Bedroom Flat,4 BEDROOM COMMERCIAL PROPERTY FOR SHORTLET,Ogudu Lagos,"  90,000/day ",2023-06-29, 4JSMX,4,False,False,True,3,4,90000,2700000,32850000,Lagos
Beautifully Furnished Luxurious Shortlet 4bedroom Detached Duplex With A Room Boy's Quarter,4 BEDROOM HOUSE FOR SHORTLET,Off Chevron Drive Chevron Lekki Lagos,"  130,000/day ",2020-09-17, 8DVZB,4,False,True,True,4,5,130000,3900000,47450000,Lagos
A Luxury Furnished 4bedroom Duplex Shortlet With Snooker Board Etc,4 BEDROOM HOUSE FOR SHORTLET,Magodo Gate Shangisha Kosofe Ikosi Lagos,"  100,000 ",2021-01-04, 3EDTV,4,False,True,True,4,5,100000,1200000,36500000,Lagos
4 Bedroom Flat,4 BEDROOM COMMERCIAL PROPERTY FOR SHORTLET,Opebi Ikeja Lagos,"  220,000/day ",2023-06-14, 0JQQF,4,False,False,False,4,5,220000,6600000,80300000,Lagos
Executive 4bedroom Terrace Duplex Serviced Apartment,4 BEDROOM HOUSE FOR SHORTLET,Akora Adeniyi Jones Ikeja Lagos,"  100,000/day ",2022-02-12, 2GBCD,4,False,True,True,5,5,100000,3000000,36500000,Lagos
Luxury 4 Bedroom Penthouse,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Gudu District Apo Abuja,"  160,000/day ",2022-07-27, 9GZST,4,False,False,False,5,5,160000,4800000,58400000,Abuja
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Off Salvation Road Opebi Ikeja Opebi Ikeja Lagos,"  80,000/day ",2022-12-07, 4HSKZ,4,False,False,False,9,9,80000,2400000,29200000,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Ikeja Medical Center Allen Avenue Ikeja Lagos,"  70,000/day ",2022-08-20, 1HCXV,4,False,True,False,9,0,70000,2100000,25550000,Lagos
Well Furnished 4 Bedroom Duplex Short Rent Apartment,4 BEDROOM HOUSE FOR SHORTLET,Itedo Estate Ikate Ikate Lekki Lagos,"  100,000 ",2022-02-03, 4FZUC,4,True,True,True,4,5,100000,1200000,36500000,Lagos
Very Clean And Decent 4bedroom Terrace,4 BEDROOM HOUSE FOR SHORTLET,Lekki Right Lekki Phase 1 Lekki Lagos,"  140,000/day ",2021-08-13, 9FECM,4,False,False,True,4,5,140000,4200000,51100000,Lagos
A Fully Furnished 4 Bedroom Serviced Terrace,4 BEDROOM HOUSE FOR SHORTLET,Ruxton Road Old Ikoyi Ikoyi Lagos,"  180,000 ",2023-04-05, 0JFUC,4,False,True,True,4,5,180000,2160000,65700000,Lagos
4 Bedroom Duplex,4 BEDROOM HOUSE FOR SHORTLET,Osapa London Lekki Lagos,"  180,000/day ",2022-12-29, 8HVAS,4,False,True,True,4,4,180000,5400000,65700000,Lagos
Tastefully Finished 4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,1195 Adamu Aliero Crescent Guzape Abuja,"  150,000/day ",2023-04-12, 8JGLV,4,True,True,True,4,5,150000,4500000,54750000,Abuja
4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ogudu Lagos,"  110,000/day ",2022-12-21, 9HUGN,4,True,True,True,5,5,110000,3300000,40150000,Lagos
Decorated 4 Bedroom Semi Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,Victoria Bay 3 Estate Ikate Lekki Lagos,"  120,000/day ",2022-03-19, 2GFXN,4,True,True,True,4,5,120000,3600000,43800000,Lagos
4 Bedroom Detached Duplex,4 BEDROOM HOUSE FOR SHORTLET,"By Richmond Gate Estate, Ikate Lekki Lagos","  120,000/day ",2022-10-21, 6HLVB,4,False,False,False,4,5,120000,3600000,43800000,Lagos
Luxurious 4 Bedroom With 24 Hours Electricity And Security,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Vgc Lekki Lagos,"  80,000/day ",2020-08-22, 2DTMH,4,False,False,True,4,5,80000,2400000,29200000,Lagos
4 Bedroom Terrace Duplex,4 BEDROOM HOUSE FOR SHORTLET,Kosofe Ikosi Lagos,"  85,000/day ",2022-10-05, 6HJQH,4,False,False,False,4,5,85000,2550000,31025000,Lagos
4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikota Lekki Lagos,"  130,000/day ",2023-02-17, 8JASD,4,True,True,True,4,5,130000,3900000,47450000,Lagos
Luxury 4 Bedroom Terrace Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikota Lekki Lagos,"  120,000/day ",2023-02-18, 4JATY,4,True,True,True,4,5,120000,3600000,43800000,Lagos
"Exclusive 4bedroom Duplex With A Lovely Swimming Pool, We Offer Good Services And Satisfied Our Clients",4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  160,000/day ",2021-12-07, 4FTXJ,4,False,True,True,4,5,160000,4800000,58400000,Lagos
"Luxurious 4bedroom Apartment, In Lekki Ikate, We Offer Premium And Adquate Services, Comes With A Snooker Board And Lovely Swimming Pool.",4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  130,000/day ",2021-12-07, 1FTXK,4,False,True,True,4,5,130000,3900000,47450000,Lagos
"4bedroom Duplex In Ikoyi Parkview Estate, Comes With The Expression Of Lifestyle, 2sitting Rooms, Garden, Gym And Morden Interiors Furniture, We Offer Accurate Services",4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Parkview Estate Ikoyi Lagos,"  195,000/day ",2021-12-11, 3FUKC,4,False,True,True,4,5,195000,5850000,71175000,Lagos
"Exclusive 4 Bedroom Short Let Apartment, Well Organized And In Safer Part Of Lekki, With Good Facilities And Services",4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  120,000/day ",2021-12-13, 5FUPH,4,False,True,True,4,5,120000,3600000,43800000,Lagos
4 Bedroom Apartment,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Ikate Lekki Lagos,"  120,000/day ",2021-11-11, 9FQZW,4,False,True,True,4,5,120000,3600000,43800000,Lagos
Furnished 4 Bedroom Duplex,4 BEDROOM FLAT / APARTMENT FOR SHORTLET,Omole Phase 2 Ikeja Lagos,"  140,000/day ",2022-04-16, 6GKSB,4,True,True,True,4,4,140000,4200000,51100000,Lagos
